Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Label
3.46,0.8934185173970765,1.142350753873846,0.8856627633231844,Jumping
3.47,1.017210133282869,1.0860687413643078,0.9593570869684879,Jumping
3.48,1.0984699928727049,1.0059866225010023,0.9792979039548643,Jumping
3.49,1.1285534302527718,0.9146181638950927,0.9246774052530511,Jumping
3.5,1.0839469541375002,0.8288883845743805,0.7976630709702632,Jumping
3.51,0.9344979698195126,0.7617990281733833,0.6329345828219375,Jumping
3.52,0.7291007077073315,0.7094387941950949,0.47150066443657834,Jumping
3.53,0.5142980490809227,0.6597429746388006,0.3299208638333069,Jumping
3.54,0.28815358877559216,0.6131007536335558,0.2267921603320262,Jumping
3.55,0.06373806165302401,0.5693519669416336,0.11122212101533244,Jumping
3.56,-0.1298332974890617,0.5252244741549,-0.07691515229091314,Jumping
3.57,-0.24740075391690936,0.4814861654972218,-0.3481102633056302,Jumping
3.58,-0.2483689564992563,0.4439149284230355,-0.6729721817749862,Jumping
3.59,-0.13294537721803418,0.41307957050557575,-0.988600634987607,Jumping
3.6,0.048523449644714334,0.37341272658263003,-1.1994530998174637,Jumping
3.61,0.28573308231972466,0.30470675918401835,-1.2696794552912236,Jumping
3.62,0.52225114172163,0.17852128964800612,-1.186448219174175,Jumping
3.63,0.7781332527704752,-0.06741314267425746,-1.138763656815449,Jumping
3.64,1.270602580548536,-0.5564379694526109,-1.037325587797796,Jumping
3.65,1.6105800016069474,-1.2824160563442595,-0.6593170570995329,Jumping
3.66,1.323577093268378,-1.836105323027189,-0.6272383515127536,Jumping
3.67,0.7848415135195934,-2.081590696739004,-0.9723011845813516,Jumping
3.68,0.020653046738583373,-2.147452626271442,-1.1084189353144418,Jumping
3.69,-1.1287417331619043,-1.9947726987189718,-0.9592096047337741,Jumping
3.7,-2.1066263413323556,-1.6220540520467643,-1.0206793405743864,Jumping
3.71,-2.280902806154812,-1.3720780922304652,-1.0371521893892188,Jumping
3.72,-1.9503307816106281,-1.3211847830463084,-0.9097043590849879,Jumping
3.73,-1.2843457196105261,-1.276278922001464,-0.8836945977984101,Jumping
